drug_id,fda,fda_altname,anxiety,anxiety_altname
,Cinacalcet,"AMG 073,AMG-073,AMG-073 HCL,AMG073 HYDROCHLORIDE,Cinacalcet,Cinacalcet HCl,Cinacalcet Hydrochloride,KRN1493,KRN-1493,Mimpara,Sensipar",,
,Hydrocortisone Hemisuccinate,"A-Hydrocort,Hcss,Hydrocortisone 21-sodium succinate,Hydrocortisone Hemisuccinate,Hydrocortisone Sodium Succinate,Hydrocortisone Succinate,NSC-7576,NSC-9152,Solu-Cortef",,
,Nelfinavir,"AG-1343,Nelfinavir,Nelfinavir Mesilate,Nelfinavir Mesylate,Nelfinavir Methanesulfonate,Viracept",,
,Azithromycin,"Azasite,Azithromycin,Azithromycin Dihydrate,Azithromycin Hydrate,Azyter,Clamelle,CP 62993,CP-62993,Sumamed,Sunamed,XZ 405,XZ 450,XZ-450,Zithromax,Zmax",,
,Bosentan,"Bosentan,Bosentan Hydrate,Bosentan Monohydrate,RO-470203029,RO-47-0203-029,Tracleer",,
,Alendronic acid,"Alendronate,Alendronate Sodium,Alendronate Sodium Hydrate,Alendronic acid,Binosto,Fosamax,G-704650,MK-217",,
,Iopamidol,"Iopamidol,IOPAMIDOL-200,IOPAMIDOL-250,IOPAMIDOL-300,IOPAMIDOL-370,Isovue,ISOVUE-128,ISOVUE-200,ISOVUE-250,ISOVUE-300,ISOVUE-370,ISOVUE-M 200,ISOVUE-M 300,SCANLUX-300,SCANLUX-370,SQ-13396",,
,Idoxuridine,"5-Iodo-2'-deoxyuridine,5IUDR,5-IUDR,ALLERGAN 211,ALLERGAN-211,Dendrid,Herplex,Idox,Idoxuridine,Idu,Kerecid,NSC-39661,Ophthalmadine,SK&F-14287,Stoxil",,
,Dipyrone,"Diprofarn,Dipyrone,Metamizol,Metamizole Sodium,Metamizole Sodium Monohydrate,Methampyrone,Noramidopyrine Methanesulfonate Sodium,Novaldin,NSC-73205,Sulpyrine,Sulpyrine Hydrate",,
,Dequalinium,"BAQD 10,BAQD-10,Dequacets,Dequadin,Dequalinium,Dequalinium Chloride,Dequalinium Dichloride,Fluomizin,GNF-PF-5483,Labosept,NSC-166454",,
,Furosemide,"Frusetic,Frusemide,ALUZINE 20,Rusyde,Hydroled,Furosemide,ALUZINE 500,Frumil,Aquamed,Lasix,Froop,Frusid,Dryptal,Lasix RET,Frumax,NSC-269420,Frusol,ALUZINE 40,Diuresal,Tenkofruse,LB-502,Disal",,
,Enoxacin,"AT-2266,CI-919,Comprecin,Enoxacin,Flumark,NSC-629661,PD-107779,Penetrex",,
,Carbidopa,"Carbidopa,Carbidopa Anhydrous,Carbidopa Hydrate,Carbidopa Monohydrate,Lodosyn,MK-486",,
,Decitabine,"5-Aza-2?-deoxycytidine,5-Aza-2'-deoxycytidine,5-Aza-2-deoxycytidine(decitabine),Dac,Dacogen,Decitabine,NSC-127716",,
,Cyclizine,"Cyclizine,Cyclizine HCl,Cyclizine Hydrochloride,Cyclizine Lactate,Marezine,Marzine",,
,Aminosalicylic acid,"Aminosalicylate Calcium,P.A.S. Sodium,Aminosalicylate Potassium,Aminosalicylate Sodium,Aminosalicylic acid,Sodium Aminosalicylate,Parasal Sodium,Granupas,P-Aminosalicylic acid,Pas,Calcium Para-Aminosalicylate,Aminosalyle Sodium,Para-Aminosalicylic acid,4-Aminosalicylic acid,Paskalium,Rezipas,Sodium P.A.S.,Potassium Aminosalicylate,Teebacin,Calcium Aminosalicylate,Paser,Parasal,NSC-2083",,
,Edrophonium,"Camsilon,Edrophone Chloride,Edrophonium,Edrophonium Chloride,Edrophonium Chloride Preservative FREE,Enlon,Enlon-PLUS,Reversol,Tensilon,Tensilon Preservative FREE",,
,Moxisylyte,"Acetoxythymoxamine,Erecnos,Moxisylyte,Moxisylyte HCl,Moxisylyte Hydrochloride,Moxisylyte Hydrochoride,Moxivig,Thymoxamine",,
,Triclabendazole,"EGA230B,Egaten,Egaten TM,NVP-EGA230,Triclabendazole",,
,Medroxyprogesterone Acetate,"FARLUTAL 500,FARLUTAL 200,Depo-Provera,Medroxyprogesterone,NSC-21171,DEPO-SUBQ PROVERA 104,Cycrin,Curretab,Prempro,Medroxyprogesterone 17-acetate,Sayana Press,Depo-Provera Oncology,Provera,FARLUTAL 250,Depo-Progevera,Amen,Medroxiprogesterone Acetate,Lunelle,FARLUTAL 100,Adgyn Medro,NSC-26386,Climanor,Medroxyprogesterone Acetate,TV-46046,Farlutal",,
,Isosorbide Mononitrate,"Ketanodur,ISMO 10,MONOSORB XL 60,ZEMON 40 XL,Carmil XL,EUMON 40 XL,Isodur,ISMO 40,Relosorb XL,Imdur,MONO-CEDOCARD 40,MONOMAX SR 60,BM-22145,CIBRAL 20,MONOMAX SR 40,ISOTARD 25 XL,BM 22.145IS 5-MNAHR-4698,PHASONIT LA 50,ISODUR 50 XL,Astrodur MR,ISODUR 25 XL,Trangina XL,ELANTAN 20,Isotrate,MODISAL LA 25,Dynamin,ANGEZE 40,MONO-CEDOCARD 10,Monoket,Isosorbide Mononitrate,ANGEZE 10,ANGEZE SR 60,ELANTAN 40,MODISAL 60 XL,Tardisc XL,ISOTARD 40 XL,Monomil XL,Monit SR,ISIB 50 XL,ISIB 20,CHEMYDUR 60 XL,Monit LS,CIBRAL 40,Pertil RET,ELANTAN LA 50,IS-5MN,ISOTARD 60 XL,MONO-CEDOCARD 20,Diluted Isosorbide Mononitrate,Ismo,VASOTRATE 60 SR,DYNAMIN XL 25,ELANTAN 10,ZEMON 60 XL,ELANTAN LA 25,Angitate,MCR 50,Ziotan XL,BM-22-145,EUMON 60 XL,ANGEZE SR 40,AHR-4698,ISMO 20,ISIB 40,XISMOX XL 60,ANGEZE 20,Ismo RET,ISOTARD 50 XL,Monomax XL,ISIB 60 XL,IS-5-MN,MONIGEN XL 60,IMO LA,Monodur,Tenkosorb,CIBRAL XL 60,MODISAL LA 50,MODISAL 40 XL,CIBRAL 10,MONIT XL 60,Monit,DYNAMIN XL 50,SLOMON XL 60,BM-22.145,BM 22.145",,
,Methyldopate,"Aldomet,Methyldopate,Methyldopate HCl,Methyldopate Hydrochloride",,
,Desloratadine,"8-Chloro-11-piperidin-4-ylidene-6\,11-dihydro-5H-benzo[5\,6]cyclohepta[1\,2-b]pyridine,Aerius,Clarinex,Desloratadine,Loratadine Related Compound A,Loratadine Related Compound A RS,Midetorin,Neoclarityn,SCH-34117",,
,Acetylcholine,"Acetylcholine,Acetylcholine Chloride,Miochol,Miochol-E,Miphtel",,
,Loratadine,"Alavert,Children'S Claritin,Claritin,Claritin-D,Claritin Hives Relief,Claritin Hives Relief Reditab,Claritin Reditabs,Clarityn,Clarityne,Clarityn Rapide,HAY-RITE,Loratadine,Loratadine Redidose,Roletra,SCH-29851",,
,Cisapride,"Alimix,Cisapride,Cisapride Monohydrate,Prepulsid,Prepulsid Quicklet,Propulsid,Propulsid Quicksolv,R-51619",,
,Clidinium,"Clidinium,Clidinium Bromide,Quarzan,RO-23773",,
,Pipenzolate,"Benzilic acid 1-ethylpiperidin-3-yl ester methobromide,Pipenzolate,Pipenzolate Bromide,Pipenzolate Methylbromide,Pipenzolone Bromide,Piptal",,
,Fenoprofen,"53858,69323,Fenoprofen,Fenoprofen Calcium,Fenoprofen Calcium Salt Dihydrate,Fenoprofen Sodium,Nalfon,Progesic",,
,Fulvestrant,"Faslodex,Fulvestrant,ICI-182780,ZD-9238",,
,Isoconazole,"Isoconazole,Isoconazole Nitrate,R-15454 [AS NITRATE SALT],Travogyn",,
,DSSTOX_CID_972,"Berkfurin,Ceduran,Dantafur,Furadantin,Furalan,Genfura,Ivadantin,Macrobid,Macrodantin,Nitrofurantoin,Nitrofurantoin Macrocrystalline,NSC-2107,NSC-44150",,
,Levonordefrin,"Corbadrine,Levonordefrin,Neo-Cobefrin,Nordefrin",,
,Anthralin,"Alphodith,Anthra-DERM,Anthralin,Antraderm,Dithranol,Dithrocream,Dithrocream FTE,Dithrocream HP,Drithocreme,Drithoscalp,Lasan,Micanol,NSC-43970,NSC-629313,Psoradrate,Psorin,Psorin FTE,Stie-Lasan",,
,Tobramycin,"Tobramycin Sulfate,Nebramycin,Vantobra,NSC-180514,Nebicin,Tobravisc,Obramycin,Tobrex,Tobramycin,Aktob,Tobralex,Nebcin,Kitabis PAK,Tymbrineb,47663,Tobramycin Sulfate (Pharmacy Bulk),Tobradex,Tobi,Tobradex ST,Tobi Podhaler,Bramitob,Nebris,Bethkis,NEBRAMYCIN FACTOR 6,SMR000058891",,
,Deferoxamine,"BA-29837,BA-33112,Deferoxamine,Deferoxamine HCl,Deferoxamine Mesilate,Deferoxamine Mesylate,Deferoxamine Methanesulfonate,Desferal,Desferal Mesylate,Desferrioxamine,Desferrioxamine Mesilate,Desferrioxamine Mesylate,NSC-527604",,
,Isopropamide,"Darbid,Isopropamide,Isopropamide Iodide,Isoproponum Iodide",,
,Bromocriptine,"Bromocriptine,(+)-Bromocriptine,Bromocriptine Mesilate,Bromocriptine Mesylate,Bromocriptine Methanesulfonate,CB-154,CB-154 MESYLATE,Cycloset,Parlodel,SANDOZ 15-754",,
,Cinoxacin,"64716,Cinobac,Cinoxacin,NSC-304467",,
,Ursodiol,"Actigall,Cholurso,Destolit,NSC-683769,Urdox,Urso,URSO 250,Ursodeoxycholic acid,Ursodesoxycholic acid,Ursodiol,Ursofalk,Urso Forte,Ursogal",,
,Pivampicillin,"Pivampicillin,Pondocillin",,
,Inamrinone,"60719-84-8,Amrinone,Amrinone Lactate,Inamrinone,Inamrinone Lactate,Inocor,WIN-40680",,
,Zotepine,"ZOLEPTIL 100,ZOLEPTIL 25,ZOLEPTIL 50,Zotepine",,
,Nalmefene,"JF-1,JF-1 HYDROCHLORIDE,Nalmefene,Nalmefene HCl,Nalmetrene,ORF 1167,ORF-1167,ORF-11676,Revex,Selincro,SRD174,SRD-174",,
,Dexpanthenol,"Dexpanthenol,D-Panthenol,D-PANTHENOL 50,D-Pantothenyl Alcohol,Ilopan,Motilyn,(+)-Panthenol,Panthenol (D),Pantothenol",,
,Levamisole,"Ergamisol,Ketrax,Levamisole,Levamisole HCl,Levamisole Hydrochloride,NSC-177023,R-12564,R 12654,Solaskil,TCMDC-125847",,
,Zomepirac,"MCN-2783-21-98,Zomax,Zomepirac,Zomepirac Sodium",,
,Baricitinib,"Baricitinib,Baricitinib (ly3009104\, incb028050),INCB-028050,INCB-28050,LY-3009104,Olumiant",,
,Guanethidine,"Esimil,Ganda,Guanethidine,Guanethidine Monosulfate,Guanethidine Sulfate,Ismelin,Ismeline,Lotens,SU-5864",,
,Alclometasone Dipropionate,"Aclovate,Alclometasone,Alclometasone 17\,21-dipropionate,Alclometasone Dipropionate,Modrasone,SCH-22219",,
,Betamethasone Dipropionate,"Alphatrex,Betamethasone 17\,21-dipropionate,Betamethasone Dipropionate,Diprolene,Diprolene AF,Diprosone,SCH-11460,Sernivo",,
,Pheneticillin,"Broxil,Chemipen,Penicillin-152 potassium,Phenethicillin Potassium,Phenethicillin Potassium Salt,Pheneticillin,Pheneticillin Potassium,Syncillin",,
,Azlocillin,"Azlin,Azlocillin,Azlocillin Sodium,Azlocillin Sodium Salt,Securopen",,
,Cloxacillin,"BRL-1621,Cloxacillin,Cloxacillin Benzathine,Cloxacillin Sodium,Cloxacillin Sodium Hydrate,Cloxacillin Sodium Salt Monohydrate,Cloxapen,Dariclox,Ekvacillin,Orbenin,P-25,Tegopen",,
,Cephalothin,"38253,Averon,Cefalotin,Cefalotin Sodium,Cephalothin,Cephalothin Sodium,Keflin,Seffin,Synclotin,Toricelocin",,
,Diamthazole,"[6-(2-Diethylamino-ethoxy)-benzothiazol-2-yl]-dimethyl-amine,Diamthazole,Diamthazole Dihydrochloride,Dimazole",,
,Hydralazine,"Apresoline,Dralzine,Hydralazine,Hydralazine HCl,Hydralazine Hydrochloride,MC-1101,NSC-126699,NSC-89394",,
,Cefoperazone,"Cefobid,Cefobis,Cefoperazone,Cefoperazone Dihydrate,Cefoperazone Sodium,Cefoperazone Sodium Salt,CP-526402,CP-52640-2,T-1551",,
,Prednisone,"Cortan,Cortancyl,Decortisyl,Delta-DOME,Deltasone,Fernisone,Liquid PRED,Lodotra,Meticorten,NSC-10023,Orasone,Paracort,Prednicen-M,Prednisone,Prednisone Intensol,Prednisone Tablets,Rayos,Servisone,Sterapred",,
,Prednisolone,"Verdeso,Deltalone,Desowen,Prednisolone,Tridesilon,NSC-9120,Neo-Delta-Cortef,Cortalone,Deltacortril,Pred-G,Precortisyl,Prelone,Pevanti,Delta-Cortef,Dekotil,Dilacort,Hydeltra,Scheriproct,Precortisyl FTE,Meticortelone,Hydeltra-TBA,Meti-DERM,Sterane,Servisone,Fernisolone-P,Poly-PRED,NSC-9900",,
,Periciazine,"Neulactil,Periciazine,Pericyazine,Propericiazine,RP-8909,SKF-20716",,
,Apomorphine,"VR040,Apomorph HCl,Diagesil,Uprima,APO-GO,Apomorphine HCl,APO-Go PEN,Apomorphine Hydrochloride Hemihydrate,Apomorphine Hydrochloride Hydrate,(R)-(-)-Apomorphine hydrochloride,Bromophin,Britaject,APO-Go PFS,Dacepton,Diamorph\,Cocaine\,Chlorpromazine,Apomorphine,Diamorphine Hydrochloride,R(-)-Apomorphine,Diamorph HCl,Diamorph Roche,Apokyn,NSC-11442,Diaphine,APL-130277,Euphorin,VR-040",,
,Corvasal,"CAS 276,Corvasal,Corvaton,Corvaton MITE,Corvaton RET,Molsidomine,Morsydomine",,
,Fluorometholone,"Fluaton,Fluorometholone,Fluor-Op,Fml,FML Forte,FML FTE,FML-NEO,NSC-33001,Oxylone",,
,Almotriptan,"Almotriptan,Almotriptan Malate,Almotriptan Maleate,Axert,LAS-31416,LAS-31416 D\,L-MALATE ACID,LAS-31416-D\,L-MALATE-ACID,PNU-180638E",,
,Phenyl Aminosalicylate,"Fenamisal,Phenyl Aminosalicylate,Pheny-Pas-Tebamin",,
,Estradiol Benzoate,"Benzestrofol,Benzogynestryl,Benztrone,Beta-Estradiol Benzoate,Difolliculin,Estradiol Benzoate,Estradiol Monobenzoate,Follidrin,Oestradiol Benzoate,Progynon B Oleoso",,
,Hydrocortisone Acetate,"Neo-Cortef,Cortril,Dricort,Hydrocortisone 21-acetate,Colifoam,Hemsol-HC,Cortifoam,Hydrocortone,Hydrocortisone Acetate,Orabase HCA,Fucidin H,Hepacort PLUS,Chloromycetin Hydrocort,Cortucid,Barquinol HC,Gppe Foam AERO,Micort-HC,Genticin HC,HC45 HYDROCORT,Framycort,Gentisone HC,Cortef Acetate,NSC-741,Gppe Eye CRM,Epifoam,Gppe Ear SUSP,Hydrocal,Lanacort,BRD-K11612998",,
,Clothiapine,"Clothiapine,Clotiapine,HF-2159",,
,Allopregnanolone,"5-Alpha-pregnan-3-alpha-ol-20-one,Allopregnan-3.alpha.-ol-20-one,Allopregnanolone,Brexanolone,SAGE-547,SGE-102,Zulresso",,
,Aminopyrine,"Amidopyrine,Aminophenazone,Aminophenazone Cyclamate,Aminopyrine",,
,Bergapten,"5-Methoxypsoralen,Bergapten,Bergaptene,NSC-95437",,
,Azaribine,"6-Azauridine 2'\,3'\,5'-triacetate,Azaribine,CB-304,Triazure",,
,Desoxycorticosterone Acetate,"BRD-K24556098,Deoxycorticosterone Acetate,Deoxycortone,Desoxycorticosterone Acetate,Desoxycortone,Desoxycortone Acetate,Doca,NSC-9567,Percorten",,
,Ramelteon,"Ramelteon,Rozerem,TAK375,TAK-375",,
,Ethoxzolamide,"6-Ethoxy-2-benzothiazolesulfonamide,Cardrase,Ethamide,Ethoxzolamide",,
,Fluocinonide,"Fluocinolide,Fluocinolone acetonide 21-acetate,Fluocinonide,Fluocinonide Emulsified base,Lidex,Lidex-E,Metosyn,Metosyn FAPG,NSC-101791,Vanos",,
,Chlorophenothane,"Chlorophenothane,Chlorphenotane,Clofenotane,Ddt,Dichlorodiphenyltrichloroethane,Dicophane,Penticide",,
,Oxacillin,"Bactocill,Cryptocillin,Oxacillin,Oxacillin Sodium,P-12,Prostaphlin,SO 16423,SQ-16423",,
,Rifampicin,"BA-411661E,BA-41166E,Eremfat,L-5103,L-5103-LEPETIT,NIH-10782,NSC-113926,Rifadin,Rifampicin,Rifampin,Rifamycin AMP,Rimactane",,
,Latanoprost,"Latanoprost,Monopost,PHXA-41,T2345,T-2345,XA-41,Xalatan,Xelpros",,
,Everolimus,"Afinitor,Afinitor Disperz,Certican,Everolimus,EVEROLIMUS (RAD001),EVEROLIMUS(RAD001),RAD001,RAD-001,RAD 666,RAD-666,SDZ-RAD,Votubia,Zortress",,
,Retinol,"ALL-Trans-Retinol,Aquasol A,Arovit,Nepalm,NSC-122759,Oleovitamin A,Retinoic acid,Retinol,Retinol Acetate,Retinol Palmitate,Retinol (Vit A),RO-A-VIT,Vitamin A,VITAMIN A 1,Vitamin A Oil,Vitamin A Solubilized",,
,Mupirocin,"Bactroban,BRL-4910A,BRL-4910F,Centany,Mupirocin,Mupirocin Calcium,Pseudomonic acid",,
,Capsaicin,"ALGRX 4975,ALGRX-4975,Capsaicin,(E)-Capsaicin,FEMA NO. 3404,NGX-1998,NGX-4010,NSC-56353,Qutenza,Zacin,Zostrix,Zostrix HP",,
,Belinostat,"Beleodaq,Belinostat,BELINOSTAT (PXD101),NSC726630,PX-105684,PXD-101,RLM-2-89",,
,Axitinib,"AG-013736,AG-13736,Axitinib,Inlyta",,
,Rifabutin,"Ansamycin,LM 427,LM-427,Mycobutin,Rifabutin",,
,Olopatadine,"AL-4943A,ALO-4943A,KW-4679,Olopatadine,Olopatadine HCl,Opatanol,Pataday,Patanase,Patanol,Pazeo",,
,Acitretin,"Acitretin,Etretin,Neotigason,RO 10-1670,RO-101670000,Soriatane",,
,Pyrantel,"Antiminth,Banminth,Combantrin,CP 10423-16,CP-10423-16,CP-10423-18,NSC-355080,Pyrantel,Pyrantel Embonate,Pyrantel Pamoate,Pyrantel Tartrate",,
,Afatinib,"Afatinib,AFATINIB (BIBW2992),Afatinib Dimaleate,Afatinib Maleate,BIBW2992,BIBW-2992,BIBW-2992MA2,BIBW-2992 MA2,BIBW-2992-MA2,BIBW2992-MA2,Gilotrif,Giotrif",,
,Terbinafine,"Athlete'S FOOT,Lamisil,Lamisil AT,Lamisil ONCE,SF-86327,SF-86-327,TDT-067,Terbinafine,Terbinafine HCl",,
,Montelukast,"MK-476,Montelukast,Montelukast Monosodium Salt,Montelukast NA,Montelukast Sodium,Singulair",,
,25-Hydroxycholecalciferol,"25-Hydroxyvitamin d3,Calcidiol,Calcifediol,Calderol,CTAP101,Rayaldee,U-32070E",,
,Cerivastatin,"Baycol,BAY-W-6228,Cerivastatin,Cerivastatin NA,Cerivastatin Sodium,Lipobay",,
,Entacapone,"Comtan,Comtess,Entacapone,OR-611",,
,Cilastatin,"Cilastatin,Cilastatin NA,Cilastatin Sodium,Cilastatin Sodium Salt,MK-791,Primaxin",,
,Debrisoquin,"Debrisoquine,Debrisoquine Sulfate,Debrisoquin Sulfate,Declinax,RO-533071",,
,Guanadrel,"CL-1388R,Guanadrel,Guanadrel Sulfate,Hylorel,U-28288D",,
,Xamoterol,"Corwin,ICI-118587,Xamoterol,Xamoterol Fumarate,Xamoterol Hemifumarate",,
,Mebhydrolin,"Fabahistin,Incidal,Mebhydrolin,Mebhydroline 1\,5-naphtalenedisulfonate,Mebhydrolin Napadisylate,Omeril",,
,Ibutilide,"Corvert,Ibutilide,Ibutilide Fumarate,U-70226E",,
,Ixabepilone,"BMS-247550,BMS-247550-01,Ixabepilone,Ixempra,Ixempra Kit",,
,Fluvastatin,"Dorisin XL,Fluvastatin,Fluvastatin Sodium,Fluvastatin Sodium Salt,Lescol,Lescol XL,Luvinsta XL,Nandovar XL,Pinmactil,Stefluvin XL,XU-62320,XU-62-320",,
,Abacavir,"1592U89,1592U89 Sulfate,Abacavir,Abacavir Succinate,Abacavir Sulfate,DRG-0257,Epzicom,Ziagen",,
,Cantharidin,"Cantharidin,NSC-61805",,
,Duvelisib,"Copiktra,Duvelisib,DUVELISIB\,IPI-145,INK-1147,INK-1197,IPI145,IPI-145",,
,Eplerenone,"Eplerenone,Inspra,SC-66110,SC-6611O",,
,Neratinib,"CDP-820,HKI-272,Neratinib,NERATINIB (HKI-272),WAY-179272",,
,Sirolimus,"AY-22989,L04AA10,NSC-226080,Rapamune,Rapamycin,Rapamycin(Sirolimus),Sirolimus,SM-88 COMPONENT SIROLIMUS,WY-090217",,
,Sunitinib,"PHA-290940AD,SU010398,SU-010398,SU011248,SU-011248,SU-011248 L-MALATE SALT,SU011248 L-MALATE SALT,SU-11248,Sunitinib,Sunitinib Malate,Sunitinib Malate (Sutent),Sutent",,
,Dacomitinib,"Dacomitinib,Dacomitinib Hydrate,Dacomitinib (pf299804\, pf299),PF-00299804,PF-00299804-03,Vizimpro",,
,Fursultiamine,"Fursultiamine,Fursultiamine HCl,Fursultiamine Hydrochloride,Judolor,Ttfd",,
,Enclomiphene,"Androxal,Cisclomiphene,Clomifene,Clomiphene Citrate,Clomiphene Citrate (Z\,E),Enclomifene,Enclomiphene,Enclomiphene Citrate,Isomer B,Milophene,RMI-16289,Serophene",,
,Tretinoin,"Acticin,Altreno,Atralin,Avita,NSC-122758,Renova,Retin-A,Retin-A Micro,Retin-A-Micro,Retinoic acid,Retinoic Acid\, All Trans,Tretinoin,Tretin-X,Vesanoid",,
,Isotretinoin,"13 Cis-retinoic acid,13-Cis retinoic acid,Absorica,Accutane,Amnesteem,Claravis,Isotretinoin,Isotrex,Myorisan,PAT-001,Retinoic acid 13-cis-form,RO-43780,RO-4-3780,Roaccutane,Sotret,Zenatane",,
,Alitretinoin,"9-Cis retinoic acid,9-Cis-retinoic acid,AGN-192013,Alitretinoin,ALRT1057,ALRT-1057,BAL-4079,LG100057,LG-100057,LGD1057,LGD-1057,NSC-659772,Panretin,Retinoic acid 9-cis-form,Toctino",,
,Triprolidine,"Actahist,Actidil,Actifed,Allerfed,Corphed,Histafed,Myfed,Myidyl,Pro-Actidil,Trilitron,Triphed,Triprolidine,Triprolidine HCl,Triprolidine Hydrochloride",,
,Flunarizine,"Flunarizine,Flunarizine Dihydroch,Flunarizine Dihydrochloride,Flunarizine HCl,Flunarizine Hydrochloride,Flurizin,MIGARID-10,R-14950,Sibelium",,
,Cyclosporine,"27-400,Vanquoral,SDZ-OXL-400,Deximune,Cyclosporin A,OL-27-400,Gengraf,Cequa,Sandimmun,Capimune,Sangcya,Ciclosporin,Capsorin,Optimmune,Ikervis,SANG-35,ANTIBIOTIC S-7481F1,Restasis Multidose,Restasis,Cyclosporine,Neoral,Sandimmune,NSC-290193",,
,Gamolenic acid,"18:3(N-6),EFAMAST 40,EFAMAST 80,Epoc,Epogam,EPOGAM 40,EPOGAM 80,Epogam PAED,.Gamma.-Linolenic acid,Gamma-linolenic acid (18:3 n-6),Gammolin,GAM-O,Gamolenic acid,Gamophase,Kentogam,LIN-GAM,NDI 609,Unigam",,
,Dinoprostone,"Cervidil,Dinoprostone,Dinoprostone Beta-Cyclodextrin Clathrate,NSC-165560,NSC-196514,PGE2,Prepidil,Propess,PROSTIN E2,Prostoglandin E2,U-12062",,
,Mycophenolic acid,"68618,Ceptava,ERL-080,Mycophenolate SOD,Mycophenolate Sodium,Mycophenolic acid,Mycophenolic Acid Sodium Salt,Mycophenolic SOD,Myfortic,NSC-116072,NSC-129185,RS-61443 [AS MOFETIL]",,
,Tamoxifen,"Kentadex,OESTRIFEN-10,Tamoxifen,I.C.I.46474 CITRATE,OESTRIFEN-20,KESSAR 20,FENTAMOX 10,Nolvadex,FENTAMOX 20,Noltam,ICI-47699,Soltamox,Tamofen,OESTRIFEN-40,Zynoplex,Nolvadex FTE,Nolvadex D,ICI-46474,Emblon,Kessar,KESSAR 10,Tamoxifen Citrate",,
,Diethylstilbestrol,"729,Apstil,Cyren A,Diethylstilbestrol,Distilbene,Estrobene,Estrogenine,Estromenin,Fonatol,NEW-ESTRANOL 1,NSC-3070,Palestrol,Stilbestroform,Stilbestrol,Stilbetin,Stilboesterol,Stilboestrol,Synestrin,Synthestrin,Tampovagan",,
,Toremifene,"Fareston,FC-1157A,GTX-006,J33.157K,NSC-613680,Toremifene,Toremifene Citrate,Toremiphene Citrate",,
,Alprostadil,"Alprostadil,Caverject,Caverject Impulse,Edex,NSC-165559,ONO-1608,PGE1,Prostin,Prostin VR,Prostin Vr Pediatric,Prostoglandin E1,U-10136,VIRIDAL 10,VIRIDAL 20,VIRIDAL 5,Viridal DUO,Vitaros",,
,Rescinnamine,"Cinnasil,Moderil,Rescinnamin,Rescinnamine",,
,Prothiaden Spofa,"Dosulepin,Dosulepin HCl,Dosulepin Hydrochloride,DOTHAPAX 25,DOTHAPAX 75,Dothiepin,Dothiepin HCl,KEN-PRO,Prepadine,Prothiaden,Thaden",,
,Calcipotriene,"Calcipotriene,Calcipotriene Hydrate,Calcipotriol,Dovobet,Dovonex,Enstilar,MC-903,PRI-2201,Sorilux,Xamiol",,
,Crotamiton,"483-63-6,Crotamiton,Crotan,Eurax",,
,Tacrolimus,"Adoport,Advagraf,Capexion,Envarsus,FK506,FK-506,FR-900506,Modigraf,Perixis,Prograf,Protopic,Tacni,Tacrolimus,Tacrolimus Hydrate,Tacrolimus Monohydrate,Vivadex",,
,Naftifine,"AW-105843,AW-105-843,Exoderil,Naftifine,Naftifine HCl,Naftifine Hydrochloride,Naftin",,
,Rosuvastatin,"Crestor,Ezallor,Rosuvastatin,Rosuvastatin Calcium,Rosuvastatin Calcium Salt,S-4522,ZD4522,ZD-4522,ZD-4522 (CALCIUM SALT)",,
,Mycophenolate Mofetil,"Arzip,Cellcept,Mycophenolate Mofetil,Mycophenolate Mofetil HCl,Myfenax,RS-61443,RS-61443-190",,
,Dienestrol,"Dienestrol,Dv,Estraguard,Hormofemin",,
,Panobinostat,"Farydak,Lbh,LBH589,LBH-589(PANOBINOSTAT),Panobinostat,Panobinostat Lactate,THM-I-91",,
,Sulindac,"Clinoril,MK-231,Sulindac",,
,Calcitriol,"1\,25-Dihydroxyvitamin d3,14Alpha-h\,1alpha\,25-dihydroxyvitamin d3,1A\,25-Dihydroxyvitamin d3,1Alpha\,25-dihydroxycholecalciferol,1Alpha\,25-dihydroxyvitamin d3,Calcijex,Calcitriol,Dihydroxycholecalciferol,DIHYDROXYVITAMIN D 3,RO-215535,RO-21-5535,Rocaltrol,Silkis,Topitriol,Vectical",,
,Eprosartan,"Eprosartan,Eprosartan Mesilate,Eprosartan Mesylate,Eprosartan Monomethanesulfonate,SK-108566,SK&F-108566,SK&F-108566J,SK&F-108566-J,Teveten",,
,Iloprost,"Ciloprost,Iloprost,Ventavis,ZK-00036374,ZK-36374",,
,Stiripentol,"BCX-2600,Diacomit,Stiripentol",,
,Ceritinib,"Ceritinib,LDK378,LDK-378,NVP-LDK-378-NX,NVP-LDK378-NX,Zykadia",,
,Plerixafor,"AMD3100,AMD-3100,Mozobil,Plerixafor,Plerixafor Octahydrochloride",,
,Tetrabenazine,"Austedo,Deutetrabenazine,Dutetrabenazine,Nitoman,NSC-169886,Revocon,RO-19569,RO-1-9569,SD-809,Tetmodis,Tetrabenazine,(?)-Tetrabenazine,Xenazine,XENAZINE 25",,
,Rimonabant,"Acomplia,Rimonabant,SR-14171,SR 141716,SR-141716,SR-141716A",,
,Urethane,"Ethyl Carbamate,Urethan,Urethane",,
,Adapalene,"Adapalene,CD-271,Differin",,
,Trichloroethylene,"Chlorylen,Trichloroethylene,Trilene",,
,Carbaril,"Carbaril,Carbaryl,Carylderm,Clinicide,Derbac,Derbac-C,ENT-23969,Suleo-C",,
,Etomidate,"1H-Imidazole-5-carboxylic acid\, 1-(1-phenylethyl)-\, ethyl ester\, (r)- [cas],Amidate,Etomidate",,
